id,br_celular_fmt,br_celular_sem,br_fixo_fmt,com_ddi,tpch_style
891,(31) 934671-7301,319346717301,(31) 5454-6902,+55 31 934671-7301,31-960-527-3527
892,(48) 997826-3056,489978263056,(48) 2550-1190,+55 48 997826-3056,48-173-763-1257
893,(31) 973792-8155,319737928155,(31) 5993-3224,+55 31 973792-8155,31-186-240-7813
894,(71) 989223-7974,719892237974,(71) 4552-3945,+55 71 989223-7974,71-565-621-7948
895,(81) 968988-7303,819689887303,(81) 3455-4698,+55 81 968988-7303,81-290-534-1121
896,(85) 975294-4878,859752944878,(85) 4916-9220,+55 85 975294-4878,85-375-520-9948
897,(85) 958099-1548,859580991548,(85) 2155-8917,+55 85 958099-1548,85-821-477-2854
898,(85) 973115-2311,859731152311,(85) 2581-9624,+55 85 973115-2311,85-979-868-5578
899,(71) 977757-2281,719777572281,(71) 4143-2449,+55 71 977757-2281,71-351-583-2279
900,(81) 985973-6119,819859736119,(81) 4511-1864,+55 81 985973-6119,81-451-647-1176
901,(71) 969511-9399,719695119399,(71) 5711-8687,+55 71 969511-9399,71-687-851-6431
902,(61) 956257-5827,619562575827,(61) 3184-3744,+55 61 956257-5827,61-136-811-5981
903,(85) 944136-2006,859441362006,(85) 4577-8752,+55 85 944136-2006,85-692-273-1845
904,(48) 991830-1447,489918301447,(48) 3174-8942,+55 48 991830-1447,48-184-229-9283
905,(21) 946418-5129,219464185129,(21) 2542-5603,+55 21 946418-5129,21-381-978-5209
906,(11) 924621-3860,119246213860,(11) 5727-3476,+55 11 924621-3860,11-774-557-7058
907,(31) 944242-4869,319442424869,(31) 3986-3962,+55 31 944242-4869,31-918-640-1542
908,(51) 921062-3376,519210623376,(51) 4439-3525,+55 51 921062-3376,51-957-607-7765
909,(61) 941188-8211,619411888211,(61) 4973-3740,+55 61 941188-8211,61-315-691-6653
910,(11) 994182-5331,119941825331,(11) 5094-2900,+55 11 994182-5331,11-153-271-8602
911,(61) 972420-5937,619724205937,(61) 3950-9724,+55 61 972420-5937,61-339-488-7390
912,(71) 944422-3378,719444223378,(71) 4172-8122,+55 71 944422-3378,71-112-395-8353
913,(61) 998931-6172,619989316172,(61) 5939-9687,+55 61 998931-6172,61-799-142-2595
914,(81) 993548-6797,819935486797,(81) 5916-8074,+55 81 993548-6797,81-725-767-5466
915,(51) 945432-5375,519454325375,(51) 5286-2610,+55 51 945432-5375,51-361-770-7408
916,(71) 998511-4961,719985114961,(71) 5007-4193,+55 71 998511-4961,71-632-445-3947
917,(51) 981776-1173,519817761173,(51) 4755-1138,+55 51 981776-1173,51-951-169-1195
918,(61) 922805-9605,619228059605,(61) 2425-8306,+55 61 922805-9605,61-459-324-5641
919,(48) 935307-1557,489353071557,(48) 2097-2506,+55 48 935307-1557,48-158-708-4552
920,(85) 993634-2995,859936342995,(85) 4900-2965,+55 85 993634-2995,85-188-976-3128
921,(61) 996034-4027,619960344027,(61) 5670-2816,+55 61 996034-4027,61-812-288-5150
922,(48) 971204-2240,489712042240,(48) 4616-8429,+55 48 971204-2240,48-383-887-7995
923,(51) 943729-3653,519437293653,(51) 5197-2212,+55 51 943729-3653,51-383-895-2022
924,(61) 960933-6450,619609336450,(61) 2246-5230,+55 61 960933-6450,61-932-371-3915
925,(71) 919096-9056,719190969056,(71) 5803-4287,+55 71 919096-9056,71-724-502-3923
926,(71) 924212-3357,719242123357,(71) 4214-8065,+55 71 924212-3357,71-323-728-2740
927,(71) 943947-2692,719439472692,(71) 2142-2194,+55 71 943947-2692,71-172-685-5105
928,(71) 912459-9154,719124599154,(71) 2609-1014,+55 71 912459-9154,71-138-780-7397
929,(48) 929871-6403,489298716403,(48) 5705-7411,+55 48 929871-6403,48-688-103-9444
930,(71) 972670-8144,719726708144,(71) 3654-2148,+55 71 972670-8144,71-653-331-1054
931,(61) 973185-2985,619731852985,(61) 4323-9770,+55 61 973185-2985,61-467-441-5961
932,(61) 917234-2485,619172342485,(61) 3496-9759,+55 61 917234-2485,61-973-448-2318
933,(71) 948005-4327,719480054327,(71) 2723-1644,+55 71 948005-4327,71-493-776-4129
934,(48) 961131-2749,489611312749,(48) 4583-6886,+55 48 961131-2749,48-598-186-8175
935,(41) 928342-1584,419283421584,(41) 2790-1415,+55 41 928342-1584,41-837-707-4907
936,(71) 960956-2032,719609562032,(71) 5247-9856,+55 71 960956-2032,71-758-415-9186
937,(81) 968891-1268,819688911268,(81) 2151-6558,+55 81 968891-1268,81-157-445-1701
938,(61) 925491-4468,619254914468,(61) 5305-9570,+55 61 925491-4468,61-569-794-9791
939,(31) 985936-4817,319859364817,(31) 5788-2180,+55 31 985936-4817,31-137-853-3319
940,(71) 995699-1312,719956991312,(71) 3930-1750,+55 71 995699-1312,71-348-818-3138
941,(11) 932577-1818,119325771818,(11) 5705-6035,+55 11 932577-1818,11-940-912-2594
942,(71) 990114-3796,719901143796,(71) 5421-2047,+55 71 990114-3796,71-937-937-2742
943,(21) 975161-4613,219751614613,(21) 2258-4320,+55 21 975161-4613,21-536-445-7586
944,(51) 925833-9943,519258339943,(51) 2562-6268,+55 51 925833-9943,51-956-912-4493
945,(11) 987736-3841,119877363841,(11) 3374-2035,+55 11 987736-3841,11-223-380-3314
946,(61) 932026-7060,619320267060,(61) 4266-3703,+55 61 932026-7060,61-549-349-1666
947,(31) 923102-7162,319231027162,(31) 5185-3584,+55 31 923102-7162,31-116-598-2322
948,(11) 910946-3939,119109463939,(11) 5793-2460,+55 11 910946-3939,11-823-767-5648
949,(61) 972391-3079,619723913079,(61) 2844-3344,+55 61 972391-3079,61-755-377-9570
950,(71) 964005-4919,719640054919,(71) 5842-3859,+55 71 964005-4919,71-725-808-1616
951,(85) 933593-9190,859335939190,(85) 4506-2442,+55 85 933593-9190,85-742-946-5934
952,(51) 964891-1074,519648911074,(51) 4284-4860,+55 51 964891-1074,51-296-220-9686
953,(21) 991123-6929,219911236929,(21) 5533-9842,+55 21 991123-6929,21-619-324-8605
954,(41) 946231-1869,419462311869,(41) 2793-2846,+55 41 946231-1869,41-915-252-8772
955,(71) 933111-3617,719331113617,(71) 4744-1706,+55 71 933111-3617,71-155-760-6966
956,(48) 937471-8121,489374718121,(48) 3029-6477,+55 48 937471-8121,48-731-924-8424
957,(11) 923686-1859,119236861859,(11) 5788-9804,+55 11 923686-1859,11-280-261-1476
958,(71) 977489-2901,719774892901,(71) 2290-4855,+55 71 977489-2901,71-838-555-6340
959,(61) 936050-6336,619360506336,(61) 2942-2804,+55 61 936050-6336,61-433-333-2606
960,(41) 964079-4276,419640794276,(41) 3538-4615,+55 41 964079-4276,41-175-582-8936
961,(11) 967129-3374,119671293374,(11) 2885-8454,+55 11 967129-3374,11-282-496-7119
962,(31) 969996-4181,319699964181,(31) 4588-6875,+55 31 969996-4181,31-376-307-6503
963,(31) 914206-1977,319142061977,(31) 3149-3236,+55 31 914206-1977,31-213-972-8627
964,(71) 964817-3804,719648173804,(71) 5114-6629,+55 71 964817-3804,71-325-402-3568
965,(85) 932273-4763,859322734763,(85) 2354-7745,+55 85 932273-4763,85-977-634-9015
966,(41) 987539-8757,419875398757,(41) 5428-8581,+55 41 987539-8757,41-385-114-8014
967,(41) 942483-6362,419424836362,(41) 3778-4643,+55 41 942483-6362,41-705-252-1083
968,(61) 915796-1656,619157961656,(61) 3927-9261,+55 61 915796-1656,61-134-535-9701
969,(61) 972818-2605,619728182605,(61) 3853-9114,+55 61 972818-2605,61-346-185-1203
970,(61) 938574-3174,619385743174,(61) 3468-5846,+55 61 938574-3174,61-344-763-2486
971,(11) 972886-5994,119728865994,(11) 2662-8524,+55 11 972886-5994,11-978-684-1399
972,(71) 970786-3271,719707863271,(71) 5580-7641,+55 71 970786-3271,71-289-908-7068
973,(71) 993021-1022,719930211022,(71) 5524-2158,+55 71 993021-1022,71-494-807-6454
974,(81) 914287-5859,819142875859,(81) 3744-5420,+55 81 914287-5859,81-814-727-9887
975,(85) 937151-2326,859371512326,(85) 4541-6500,+55 85 937151-2326,85-853-156-9433
976,(51) 916758-2818,519167582818,(51) 3568-6989,+55 51 916758-2818,51-576-733-1669
977,(51) 958029-3871,519580293871,(51) 4654-2097,+55 51 958029-3871,51-674-826-4354
978,(31) 953899-4909,319538994909,(31) 4210-2860,+55 31 953899-4909,31-764-589-4437
979,(41) 952003-6778,419520036778,(41) 5677-5380,+55 41 952003-6778,41-615-796-7929
980,(48) 917138-2038,489171382038,(48) 3527-6656,+55 48 917138-2038,48-563-597-9215
981,(81) 926083-8703,819260838703,(81) 4907-9714,+55 81 926083-8703,81-794-945-9730
982,(48) 969241-7031,489692417031,(48) 5276-2075,+55 48 969241-7031,48-292-568-2430
983,(21) 961207-3929,219612073929,(21) 3181-2260,+55 21 961207-3929,21-211-268-5521
984,(21) 929392-9131,219293929131,(21) 2616-4346,+55 21 929392-9131,21-633-742-1371
985,(48) 964596-9870,489645969870,(48) 5816-3163,+55 48 964596-9870,48-585-455-7883
986,(71) 994500-1351,719945001351,(71) 3194-4097,+55 71 994500-1351,71-164-122-4806
987,(81) 994498-6503,819944986503,(81) 3686-6616,+55 81 994498-6503,81-771-761-6346
988,(71) 987772-9686,719877729686,(71) 5448-9986,+55 71 987772-9686,71-555-568-5982
989,(85) 927295-6021,859272956021,(85) 2703-5259,+55 85 927295-6021,85-332-595-7093
990,(48) 916202-3430,489162023430,(48) 3446-5659,+55 48 916202-3430,48-566-270-3634
991,(81) 947387-3986,819473873986,(81) 5986-3873,+55 81 947387-3986,81-959-825-3514
992,(31) 941182-2915,319411822915,(31) 2168-6187,+55 31 941182-2915,31-688-229-8223
993,(48) 958453-4022,489584534022,(48) 2840-1568,+55 48 958453-4022,48-781-424-6633
994,(31) 958878-8347,319588788347,(31) 4211-3663,+55 31 958878-8347,31-646-408-2990
995,(11) 963026-9182,119630269182,(11) 5147-3381,+55 11 963026-9182,11-569-427-3556
996,(11) 981584-9313,119815849313,(11) 3356-5842,+55 11 981584-9313,11-585-396-3409
997,(85) 967947-6549,859679476549,(85) 4822-2840,+55 85 967947-6549,85-849-590-1656
998,(31) 998867-2914,319988672914,(31) 3261-1406,+55 31 998867-2914,31-511-732-4610
999,(71) 956844-2515,719568442515,(71) 3336-1901,+55 71 956844-2515,71-722-756-4197
1000,(85) 979000-4639,859790004639,(85) 5200-5553,+55 85 979000-4639,85-300-123-2369
